municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao
Conceição de Macabu (RJ),"0,712","0,698","0,806","0,642"
Ribeirão Bonito (SP),"0,712","0,712","0,811","0,625"
Erebango (RS),"0,712","0,689","0,837","0,626"
Irapuru (SP),"0,712","0,691","0,839","0,622"
Morro Agudo (SP),"0,712","0,716","0,836","0,604"
Eugênio de Castro (RS),"0,712","0,697","0,885","0,584"
Lindolfo Collor (RS),"0,712","0,712","0,842","0,601"
Itabuna (BA),"0,712","0,695","0,807","0,643"
Santa Vitória do Palmar (RS),"0,712","0,709","0,861","0,591"
Petrolina de Goiás (GO),"0,712","0,674","0,834","0,643"
Crissiumal (RS),"0,712","0,702","0,835","0,616"
Jardim (MS),"0,712","0,718","0,845","0,595"
Feira de Santana (BA),"0,712","0,710","0,820","0,619"
Biritiba-Mirim (SP),"0,712","0,710","0,795","0,640"
Alambari (SP),"0,712","0,682","0,805","0,658"
Venâncio Aires (RS),"0,712","0,736","0,818","0,600"
Uru (SP),"0,712","0,678","0,832","0,639"
Vianópolis (GO),"0,712","0,710","0,818","0,622"
Japurá (PR),"0,712","0,698","0,829","0,623"
Barão de Antonina (SP),"0,711","0,676","0,820","0,649"
Lambari (MG),"0,711","0,693","0,871","0,596"
Israelândia (GO),"0,711","0,664","0,831","0,652"
Campo Belo (MG),"0,711","0,706","0,868","0,586"
Alcinópolis (MS),"0,711","0,733","0,858","0,572"
Duque de Caxias (RJ),"0,711","0,692","0,833","0,624"
Paranaiguara (GO),"0,711","0,702","0,836","0,613"
Jaborandi (SP),"0,711","0,679","0,845","0,627"
Cezarina (GO),"0,711","0,684","0,807","0,652"
Paulicéia (SP),"0,711","0,692","0,811","0,640"
Varjão de Minas (MG),"0,711","0,673","0,847","0,631"
Ribeirão Corrente (SP),"0,711","0,688","0,814","0,642"
Morrinhos do Sul (RS),"0,711","0,720","0,842","0,593"
Igaratá (SP),"0,711","0,683","0,855","0,616"
Chiador (MG),"0,711","0,742","0,868","0,559"
Sapiranga (RS),"0,711","0,722","0,832","0,598"
Rio Novo do Sul (ES),"0,711","0,692","0,837","0,620"
Missal (PR),"0,711","0,714","0,828","0,608"
Piquerobi (SP),"0,711","0,669","0,836","0,644"
Vicentina (MS),"0,711","0,689","0,835","0,626"
Medeiros (MG),"0,711","0,722","0,851","0,584"
Bataguassu (MS),"0,710","0,698","0,847","0,606"
São Miguel Arcanjo (SP),"0,710","0,708","0,799","0,633"
Colômbia (SP),"0,710","0,689","0,802","0,647"
São Miguel da Boa Vista (SC),"0,710","0,733","0,795","0,615"
Witmarsum (SC),"0,710","0,739","0,870","0,557"
Brejo Alegre (SP),"0,710","0,702","0,826","0,618"
Nazário (GO),"0,710","0,702","0,808","0,631"
Apiaí (SP),"0,710","0,662","0,835","0,647"
Barracão (RS),"0,710","0,711","0,885","0,568"
Rio Bonito (RJ),"0,710","0,705","0,819","0,620"
Caicó (RN),"0,710","0,703","0,824","0,619"
Marechal Floriano (ES),"0,710","0,715","0,849","0,589"
Terra Rica (PR),"0,710","0,698","0,837","0,613"
Alfredo Chaves (ES),"0,710","0,703","0,832","0,611"
Cachoeira Alta (GO),"0,710","0,750","0,840","0,569"
Buriti Alegre (GO),"0,710","0,700","0,831","0,614"
Pimenta Bueno (RO),"0,710","0,726","0,803","0,613"
Ibiúna (SP),"0,710","0,700","0,832","0,614"
Santa Cruz de Monte Castelo (PR),"0,710","0,681","0,831","0,633"
Santa Vitória (MG),"0,710","0,718","0,865","0,576"
Quarto Centenário (PR),"0,710","0,724","0,819","0,603"
Prado Ferreira (PR),"0,710","0,707","0,852","0,593"
Pouso Alto (MG),"0,710","0,736","0,847","0,573"
Pitangueiras (PR),"0,710","0,670","0,842","0,634"
Novo Itacolomi (PR),"0,710","0,681","0,831","0,633"
Nova Olímpia (PR),"0,710","0,699","0,813","0,631"
Monte Santo de Minas (MG),"0,710","0,689","0,874","0,595"
Lupionópolis (PR),"0,710","0,703","0,856","0,595"
Limeira do Oeste (MG),"0,710","0,693","0,834","0,620"
Lima Duarte (MG),"0,710","0,705","0,861","0,590"
Leandro Ferreira (MG),"0,710","0,707","0,875","0,579"
Estrela Dalva (MG),"0,710","0,719","0,867","0,574"
Ibaiti (PR),"0,710","0,738","0,813","0,596"
Monteiro Lobato (SP),"0,710","0,692","0,826","0,627"
Itanhangá (MT),"0,710","0,699","0,856","0,597"
Glória D'Oeste (MT),"0,710","0,684","0,823","0,636"
Carmo do Cajuru (MG),"0,710","0,695","0,853","0,605"
Capitólio (MG),"0,710","0,709","0,825","0,612"
Três Coroas (RS),"0,710","0,740","0,829","0,584"
Paulo Bento (RS),"0,710","0,730","0,858","0,571"
Timburi (SP),"0,710","0,688","0,826","0,629"
Pinheirinho do Vale (RS),"0,710","0,713","0,828","0,607"
Taiaçu (SP),"0,710","0,701","0,814","0,628"
Ampére (PR),"0,709","0,699","0,824","0,620"
Serra do Navio (AP),"0,709","0,659","0,783","0,692"
Cláudio (MG),"0,709","0,701","0,846","0,602"
Taguaí (SP),"0,709","0,690","0,818","0,631"
Magé (RJ),"0,709","0,685","0,832","0,626"
Goiás (GO),"0,709","0,713","0,805","0,621"
Pirapetinga (MG),"0,709","0,680","0,841","0,624"
Rio Negro (MS),"0,709","0,702","0,869","0,585"
Sandovalina (SP),"0,709","0,665","0,812","0,659"
Ouro Verde do Oeste (PR),"0,709","0,688","0,817","0,634"
Juquitiba (SP),"0,709","0,680","0,791","0,662"
Tupanciretã (RS),"0,709","0,721","0,828","0,596"
Cruzeiro do Iguaçu (PR),"0,709","0,703","0,792","0,641"
Visconde do Rio Branco (MG),"0,709","0,709","0,850","0,591"
Silvânia (GO),"0,709","0,721","0,814","0,606"
Dom Silvério (MG),"0,709","0,661","0,847","0,636"
Nova Era (MG),"0,709","0,675","0,825","0,639"
Campanha (MG),"0,709","0,715","0,849","0,587"
São Pedro do Sul (RS),"0,709","0,698","0,824","0,619"
Paranapoema (PR),"0,709","0,680","0,834","0,629"
Gália (SP),"0,709","0,684","0,823","0,634"
São Gabriel da Palha (ES),"0,709","0,739","0,835","0,578"
Rio Paranaíba (MG),"0,709","0,725","0,855","0,575"
Saquarema (RJ),"0,709","0,714","0,804","0,621"
Jardinópolis (SC),"0,709","0,708","0,823","0,611"
Nossa Senhora das Graças (PR),"0,709","0,679","0,832","0,631"
Cantagalo (RJ),"0,709","0,705","0,822","0,614"
Ibirarema (SP),"0,708","0,692","0,817","0,628"
São João Nepomuceno (MG),"0,708","0,696","0,850","0,600"
Mirim Doce (SC),"0,708","0,683","0,821","0,633"
Tenente Portela (RS),"0,708","0,709","0,830","0,603"
São Sepé (RS),"0,708","0,708","0,871","0,576"
Conchal (SP),"0,708","0,699","0,827","0,614"
São José de Ribamar (MA),"0,708","0,642","0,790","0,700"
Alvorada do Sul (PR),"0,708","0,695","0,826","0,617"
Romaria (MG),"0,708","0,722","0,813","0,604"
Itaiópolis (SC),"0,708","0,700","0,836","0,606"
Jateí (MS),"0,708","0,716","0,857","0,579"
Piraí do Sul (PR),"0,708","0,702","0,816","0,619"
Ibicaré (SC),"0,708","0,734","0,826","0,586"
Araporã (MG),"0,708","0,676","0,813","0,646"
Alvorada (TO),"0,708","0,677","0,843","0,623"
Galvão (SC),"0,708","0,704","0,815","0,618"
Paulo Frontin (PR),"0,708","0,688","0,806","0,639"
Cáceres (MT),"0,708","0,691","0,813","0,633"
Flor do Sertão (SC),"0,708","0,736","0,792","0,608"
Pedra do Indaiá (MG),"0,708","0,688","0,843","0,611"
Dom Pedrito (RS),"0,708","0,715","0,848","0,585"
Atilio Vivacqua (ES),"0,708","0,663","0,841","0,637"
Madre de Deus (BA),"0,708","0,670","0,794","0,667"
Coromandel (MG),"0,708","0,730","0,860","0,565"
Abadia de Goiás (GO),"0,708","0,687","0,830","0,622"
Piraí (RJ),"0,708","0,714","0,803","0,620"
Campos Borges (RS),"0,708","0,704","0,819","0,616"
Apiúna (SC),"0,708","0,735","0,827","0,584"
Juranda (PR),"0,708","0,678","0,818","0,639"
Crixás (GO),"0,708","0,706","0,805","0,625"
Mallet (PR),"0,708","0,681","0,809","0,645"
Jandaia (GO),"0,707","0,690","0,821","0,625"
Rio Novo (MG),"0,707","0,671","0,835","0,631"
Sul Brasil (SC),"0,707","0,713","0,832","0,595"
Santa Bárbara (MG),"0,707","0,676","0,816","0,642"
Várzea (PB),"0,707","0,619","0,800","0,714"
Matutina (MG),"0,707","0,744","0,859","0,552"
Sarapuí (SP),"0,707","0,699","0,814","0,621"
São José do Hortêncio (RS),"0,707","0,717","0,824","0,597"
Derrubadas (RS),"0,707","0,664","0,846","0,628"
Iracema do Oeste (PR),"0,707","0,672","0,836","0,630"
Itaguajé (PR),"0,707","0,672","0,791","0,664"
Iguatama (MG),"0,707","0,695","0,825","0,616"
Estrela do Norte (GO),"0,707","0,703","0,848","0,593"
Áurea (RS),"0,707","0,715","0,841","0,588"
Itirapuã (SP),"0,707","0,673","0,826","0,636"
Montes Claros de Goiás (GO),"0,707","0,704","0,806","0,622"
Rancho Alegre (PR),"0,707","0,691","0,808","0,633"
Conselheiro Mairinck (PR),"0,707","0,675","0,806","0,650"
Minaçu (GO),"0,707","0,691","0,803","0,637"
Arroio do Tigre (RS),"0,707","0,708","0,848","0,589"
Leópolis (PR),"0,707","0,657","0,812","0,663"
Jaguarão (RS),"0,707","0,698","0,832","0,608"
Rio Branco (MT),"0,707","0,701","0,817","0,617"
Irati (SC),"0,707","0,694","0,836","0,609"
Costa Rica (MS),"0,706","0,717","0,811","0,606"
Chuí (RS),"0,706","0,676","0,792","0,658"
Planalto (PR),"0,706","0,704","0,786","0,636"
Itatinga (SP),"0,706","0,685","0,841","0,610"
Doutor Maurício Cardoso (RS),"0,706","0,707","0,840","0,593"
Cromínia (GO),"0,706","0,692","0,803","0,634"
Santo Antônio do Pinhal (SP),"0,706","0,685","0,812","0,632"
Xambrê (PR),"0,706","0,703","0,825","0,606"
Laranjeiras do Sul (PR),"0,706","0,709","0,835","0,594"
Lapa (PR),"0,706","0,696","0,848","0,595"
Hidrolândia (GO),"0,706","0,707","0,827","0,603"
Ivaté (PR),"0,706","0,684","0,803","0,641"
Campestre da Serra (RS),"0,706","0,713","0,886","0,557"
Ibiraci (MG),"0,706","0,696","0,855","0,591"
Iporã (PR),"0,706","0,696","0,829","0,611"
Douradoquara (MG),"0,706","0,704","0,847","0,591"
Princesa (SC),"0,706","0,701","0,820","0,611"
Joviânia (GO),"0,706","0,714","0,827","0,595"
Caratinga (MG),"0,706","0,697","0,836","0,603"
Novo Horizonte (SC),"0,706","0,700","0,846","0,594"
Campo Florido (MG),"0,706","0,735","0,858","0,558"
Dionísio Cerqueira (SC),"0,706","0,703","0,820","0,610"
Caetanópolis (MG),"0,706","0,674","0,845","0,617"
Cachoeira de Minas (MG),"0,706","0,673","0,821","0,637"
Mossâmedes (GO),"0,706","0,696","0,811","0,623"
Capanema (PR),"0,706","0,719","0,801","0,611"
Barracão (PR),"0,706","0,716","0,833","0,590"
Santa Bárbara de Goiás (GO),"0,706","0,667","0,832","0,635"
Campos Novos Paulista (SP),"0,706","0,670","0,824","0,638"
Três Barras (SC),"0,706","0,677","0,814","0,639"
Cesário Lange (SP),"0,706","0,715","0,804","0,611"
Novo Barreiro (RS),"0,706","0,734","0,808","0,594"
Paim Filho (RS),"0,706","0,725","0,870","0,558"
Coxilha (RS),"0,706","0,693","0,866","0,586"
Santa Juliana (MG),"0,706","0,726","0,868","0,558"
Santa Cruz de Minas (MG),"0,706","0,660","0,839","0,636"
União do Oeste (SC),"0,705","0,703","0,823","0,606"
Jesuítas (PR),"0,705","0,680","0,839","0,615"
Itamonte (MG),"0,705","0,695","0,853","0,591"
Avanhandava (SP),"0,705","0,688","0,817","0,623"
Vila Lângaro (RS),"0,705","0,759","0,839","0,551"
Santa Rosa do Sul (SC),"0,705","0,702","0,806","0,618"
Itaju (SP),"0,705","0,696","0,823","0,613"
Ribeirão Grande (SP),"0,705","0,643","0,807","0,676"
Inajá (PR),"0,705","0,676","0,807","0,641"
Santa Fé (PR),"0,705","0,721","0,808","0,601"
Planaltina do Paraná (PR),"0,705","0,682","0,795","0,646"
Borebi (SP),"0,705","0,674","0,846","0,615"
Restinga (SP),"0,705","0,664","0,826","0,639"
Carmo do Paranaíba (MG),"0,705","0,713","0,861","0,571"
Belmonte (SC),"0,705","0,699","0,820","0,611"
Alto Taquari (MT),"0,705","0,736","0,833","0,571"
Santa Rosa da Serra (MG),"0,705","0,695","0,866","0,583"
Santa Tereza do Oeste (PR),"0,705","0,686","0,808","0,632"
Bofete (SP),"0,705","0,700","0,821","0,609"
Guiratinga (MT),"0,705","0,677","0,813","0,637"
Siqueira Campos (PR),"0,704","0,708","0,839","0,588"
Ibirité (MG),"0,704","0,673","0,840","0,616"
Campina Verde (MG),"0,704","0,714","0,868","0,562"
São José da Varginha (MG),"0,704","0,682","0,857","0,597"
Salto Grande (SP),"0,704","0,664","0,825","0,637"
Euclides da Cunha Paulista (SP),"0,704","0,663","0,802","0,655"
Parobé (RS),"0,704","0,700","0,886","0,562"
Nova Xavantina (MT),"0,704","0,713","0,800","0,613"
Araçariguama (SP),"0,704","0,717","0,814","0,597"
Quaraí (RS),"0,704","0,673","0,852","0,609"
Rancho Alegre D'Oeste (PR),"0,704","0,673","0,831","0,625"
Ladário (MS),"0,704","0,687","0,822","0,618"
Buritinópolis (GO),"0,704","0,727","0,813","0,591"
Cássia (MG),"0,704","0,723","0,837","0,576"
Mateus Leme (MG),"0,704","0,688","0,839","0,604"
Salto do Itararé (PR),"0,704","0,661","0,836","0,631"
Chapadão do Lageado (SC),"0,704","0,680","0,833","0,616"
Quissamã (RJ),"0,704","0,698","0,821","0,610"
Papanduva (SC),"0,704","0,691","0,836","0,603"
Lontras (SC),"0,704","0,735","0,820","0,579"
Caçapava do Sul (RS),"0,704","0,699","0,855","0,585"
Mirassol D'Oeste (MT),"0,704","0,723","0,816","0,592"
Ivolândia (GO),"0,704","0,680","0,825","0,622"
Nova Marilândia (MT),"0,704","0,680","0,823","0,623"
Tabatinga (SP),"0,704","0,700","0,818","0,609"
Palma Sola (SC),"0,704","0,700","0,800","0,622"
Santa Mônica (PR),"0,704","0,698","0,792","0,630"
Alto Araguaia (MT),"0,704","0,712","0,802","0,612"
Campina da Lagoa (PR),"0,704","0,677","0,829","0,623"
Boa Esperança (MG),"0,704","0,694","0,855","0,587"
Arenápolis (MT),"0,704","0,677","0,793","0,649"
Araruna (PR),"0,704","0,685","0,785","0,648"
São Pedro do Paraná (PR),"0,704","0,678","0,836","0,616"
São Miguel do Iguaçu (PR),"0,704","0,726","0,818","0,588"
Canas (SP),"0,704","0,646","0,797","0,677"
Tapejara (PR),"0,703","0,694","0,819","0,612"
Camapuã (MS),"0,703","0,715","0,817","0,596"
Araquari (SC),"0,703","0,696","0,830","0,602"
Fernão (SP),"0,703","0,668","0,843","0,617"
Coxim (MS),"0,703","0,719","0,836","0,579"
Campo Novo (RS),"0,703","0,677","0,866","0,593"
Pontes E Lacerda (MT),"0,703","0,711","0,807","0,605"
Maria Helena (PR),"0,703","0,680","0,842","0,607"
Iguatu (PR),"0,703","0,672","0,812","0,637"
Jeriquara (SP),"0,703","0,680","0,814","0,628"
Palma (MG),"0,703","0,663","0,841","0,623"
Ibaté (SP),"0,703","0,681","0,814","0,627"
Três Palmeiras (RS),"0,703","0,747","0,832","0,560"
Riolândia (SP),"0,703","0,677","0,817","0,629"
Caseiros (RS),"0,703","0,696","0,833","0,600"
Lagoa Formosa (MG),"0,703","0,717","0,832","0,582"
Conceição dos Ouros (MG),"0,703","0,668","0,842","0,618"
Entre Rios do Sul (RS),"0,703","0,709","0,857","0,572"
Boa Vista do Cadeado (RS),"0,703","0,692","0,851","0,590"
São Pedro do Turvo (SP),"0,703","0,661","0,826","0,636"
Guarantã do Norte (MT),"0,703","0,692","0,826","0,609"
Uruana (GO),"0,703","0,665","0,824","0,634"
Perdigão (MG),"0,703","0,711","0,843","0,579"
Itararé (SP),"0,703","0,668","0,803","0,649"
Castro (PR),"0,703","0,704","0,823","0,600"
Iporanga (SP),"0,703","0,637","0,816","0,668"
Guaçuí (ES),"0,703","0,691","0,846","0,595"
Goianápolis (GO),"0,703","0,678","0,825","0,620"
Porangaba (SP),"0,703","0,696","0,864","0,578"
Macuco (RJ),"0,703","0,687","0,801","0,631"
Francisco Morato (SP),"0,703","0,659","0,815","0,647"
Pitanga (PR),"0,702","0,696","0,802","0,621"
Botelhos (MG),"0,702","0,702","0,868","0,568"
Inhaúma (MG),"0,702","0,657","0,845","0,624"
Edealina (GO),"0,702","0,722","0,808","0,594"
Guapirama (PR),"0,702","0,666","0,805","0,645"
Ariquemes (RO),"0,702","0,716","0,806","0,600"
Baixo Guandu (ES),"0,702","0,670","0,811","0,637"
Itaguaçu (ES),"0,702","0,672","0,802","0,641"
Nonoai (RS),"0,702","0,703","0,833","0,591"
Muitos Capões (RS),"0,702","0,711","0,873","0,558"
Paraíba do Sul (RJ),"0,702","0,697","0,812","0,610"
Campos Altos (MG),"0,702","0,690","0,860","0,582"
Luiziânia (SP),"0,702","0,682","0,815","0,623"
Pontalinda (SP),"0,702","0,677","0,847","0,604"
Viadutos (RS),"0,702","0,715","0,864","0,561"
Santo Antônio da Alegria (SP),"0,702","0,690","0,830","0,604"
Adelândia (GO),"0,702","0,664","0,836","0,622"
Vitorino (PR),"0,702","0,728","0,818","0,582"
Nortelândia (MT),"0,702","0,653","0,793","0,668"
Morro Redondo (RS),"0,702","0,719","0,864","0,557"
Maria da Fé (MG),"0,702","0,646","0,842","0,637"
Dionísio (MG),"0,702","0,651","0,821","0,647"
Correia Pinto (SC),"0,702","0,701","0,804","0,614"
Santo Antônio de Posse (SP),"0,702","0,718","0,838","0,576"
Mariana Pimentel (RS),"0,701","0,701","0,866","0,568"
Ribeirão do Pinhal (PR),"0,701","0,684","0,824","0,611"
Presidente Olegário (MG),"0,701","0,679","0,831","0,611"
Patos (PB),"0,701","0,667","0,821","0,628"
Indiara (GO),"0,701","0,694","0,837","0,593"
Araguainha (MT),"0,701","0,650","0,844","0,627"
Marcelândia (MT),"0,701","0,700","0,813","0,604"
Centenário (RS),"0,701","0,707","0,856","0,569"
Florestópolis (PR),"0,701","0,682","0,807","0,625"
Primeiro de Maio (PR),"0,701","0,695","0,826","0,599"
Alto Garças (MT),"0,701","0,707","0,835","0,583"
Eusébio (CE),"0,701","0,700","0,794","0,621"
Senador Canedo (GO),"0,701","0,676","0,827","0,617"
Campo Magro (PR),"0,701","0,685","0,828","0,607"
Braganey (PR),"0,701","0,689","0,797","0,627"
Bom Jesus de Goiás (GO),"0,701","0,699","0,860","0,573"
Luziânia (GO),"0,701","0,689","0,831","0,602"
Travesseiro (RS),"0,701","0,735","0,839","0,559"
Brasilândia (MS),"0,701","0,721","0,837","0,570"
Dona Eusébia (MG),"0,701","0,684","0,841","0,598"
Taquarituba (SP),"0,701","0,700","0,811","0,606"
Tabaí (RS),"0,701","0,694","0,834","0,595"
São Sebastião da Grama (SP),"0,701","0,689","0,820","0,609"
Brazabrantes (GO),"0,701","0,677","0,826","0,615"
Colinas do Tocantins (TO),"0,701","0,690","0,814","0,614"
Barra Bonita (SC),"0,701","0,692","0,830","0,599"
Santa Terezinha de Goiás (GO),"0,701","0,647","0,826","0,644"
Ipameri (GO),"0,701","0,711","0,823","0,588"
Morro Grande (SC),"0,701","0,742","0,847","0,548"
Guaranésia (MG),"0,701","0,693","0,845","0,589"
Nanuque (MG),"0,701","0,666","0,850","0,609"
Santa Rosa de Goiás (GO),"0,701","0,643","0,844","0,635"
Nova Ponte (MG),"0,701","0,734","0,835","0,562"
Ponta Porã (MS),"0,701","0,708","0,812","0,598"
Dianópolis (TO),"0,701","0,673","0,822","0,624"
Teófilo Otoni (MG),"0,701","0,698","0,824","0,598"
Pratânia (SP),"0,701","0,681","0,798","0,633"
Castelândia (GO),"0,701","0,724","0,823","0,578"
Sangão (SC),"0,700","0,725","0,853","0,554"
Joaquim Távora (PR),"0,700","0,699","0,801","0,613"
Paraíso (SC),"0,700","0,728","0,833","0,565"
Salgado Filho (PR),"0,700","0,682","0,831","0,604"
Rolim de Moura (RO),"0,700","0,709","0,808","0,598"
Americano do Brasil (GO),"0,700","0,669","0,813","0,631"
Cacequi (RS),"0,700","0,680","0,807","0,626"
Boqueirão do Leão (RS),"0,700","0,725","0,843","0,562"
Conceição do Pará (MG),"0,700","0,687","0,850","0,588"
Alto Alegre (SP),"0,700","0,683","0,817","0,616"
Floriano (PI),"0,700","0,676","0,802","0,633"
Carmópolis de Minas (MG),"0,700","0,694","0,850","0,582"
Aurilândia (GO),"0,700","0,661","0,836","0,620"
São Tomás de Aquino (MG),"0,700","0,692","0,874","0,568"
Santa Mariana (PR),"0,700","0,684","0,804","0,624"
Bocaiúva (MG),"0,700","0,648","0,822","0,644"
Pérola (PR),"0,700","0,704","0,804","0,607"
Andrelândia (MG),"0,700","0,675","0,818","0,621"
Naviraí (MS),"0,700","0,715","0,803","0,597"
Boa Esperança do Iguaçu (PR),"0,700","0,673","0,848","0,602"
Piraquara (PR),"0,700","0,689","0,869","0,574"
Vidal Ramos (SC),"0,700","0,728","0,802","0,588"
Corumbá (MS),"0,700","0,701","0,834","0,586"
Santo Antônio de Jesus (BA),"0,700","0,677","0,815","0,622"
Porto Amazonas (PR),"0,700","0,708","0,815","0,595"
Ubiretama (RS),"0,700","0,691","0,809","0,613"
Ubarana (SP),"0,700","0,672","0,844","0,604"
Juquiá (SP),"0,700","0,654","0,823","0,637"
São Roque do Canaã (ES),"0,700","0,686","0,803","0,623"
Cachoeiras de Macacu (RJ),"0,700","0,695","0,817","0,603"
Nobres (MT),"0,699","0,675","0,827","0,611"
Novo Brasil (GO),"0,699","0,691","0,828","0,598"
Jaraguá (GO),"0,699","0,692","0,841","0,588"
Trindade (GO),"0,699","0,682","0,822","0,608"
Bom Retiro (SC),"0,699","0,704","0,869","0,559"
Silvianópolis (MG),"0,699","0,706","0,865","0,559"
Vargem (SP),"0,699","0,690","0,839","0,591"
Oliveira (MG),"0,699","0,691","0,842","0,587"
Brochier (RS),"0,699","0,723","0,851","0,554"
Cruz das Almas (BA),"0,699","0,659","0,796","0,650"
Irineópolis (SC),"0,699","0,720","0,836","0,567"
Barbosa (SP),"0,699","0,676","0,843","0,599"
Douradina (MS),"0,699","0,706","0,809","0,597"
Suzanápolis (SP),"0,699","0,665","0,813","0,631"
Saudade do Iguaçu (PR),"0,699","0,695","0,803","0,611"
Madre de Deus de Minas (MG),"0,699","0,667","0,856","0,598"
Mário Campos (MG),"0,699","0,680","0,833","0,604"
Cláudia (MT),"0,699","0,719","0,809","0,586"
Alvorada (RS),"0,699","0,694","0,874","0,564"
Almirante Tamandaré (PR),"0,699","0,706","0,840","0,575"
Tomazina (PR),"0,699","0,661","0,829","0,622"
Vera Cruz do Oeste (PR),"0,699","0,702","0,811","0,601"
Cristalina (GO),"0,699","0,716","0,814","0,587"
Cambuquira (MG),"0,699","0,691","0,856","0,577"
Novo Alegre (TO),"0,699","0,642","0,812","0,654"
São Gabriel (RS),"0,699","0,711","0,822","0,585"
Capela do Alto (SP),"0,699","0,673","0,823","0,617"
Rosário do Sul (RS),"0,699","0,705","0,841","0,576"
Marzagão (GO),"0,699","0,692","0,822","0,601"
Anchieta (SC),"0,699","0,703","0,800","0,608"
Maximiliano de Almeida (RS),"0,699","0,699","0,825","0,591"
Caiçara (RS),"0,699","0,721","0,817","0,580"
Urupema (SC),"0,699","0,667","0,823","0,622"
Joanópolis (SP),"0,699","0,707","0,824","0,585"
Lavras do Sul (RS),"0,699","0,683","0,868","0,577"
Palmeiras de Goiás (GO),"0,698","0,698","0,815","0,598"
Bela Vista (MS),"0,698","0,699","0,830","0,585"
Araújos (MG),"0,698","0,694","0,855","0,574"
Arroio dos Ratos (RS),"0,698","0,700","0,833","0,583"
Santana da Vargem (MG),"0,698","0,681","0,850","0,587"
Campestre (MG),"0,698","0,712","0,843","0,566"
Ribeira (SP),"0,698","0,635","0,797","0,673"
Claraval (MG),"0,698","0,687","0,848","0,584"
Cachoeira Dourada (GO),"0,698","0,703","0,804","0,602"
Guaraci (PR),"0,698","0,693","0,821","0,598"
Major Gercino (SC),"0,698","0,738","0,818","0,563"
Picos (PI),"0,698","0,684","0,800","0,621"
Santa Cecília (SC),"0,698","0,697","0,819","0,597"
Corumbaíba (GO),"0,698","0,703","0,831","0,582"
Passo do Sobrado (RS),"0,698","0,726","0,851","0,551"
Candiota (RS),"0,698","0,704","0,860","0,562"
Mariópolis (PR),"0,698","0,717","0,804","0,591"
Porto Mauá (RS),"0,698","0,672","0,831","0,608"
Terra Nova do Norte (MT),"0,698","0,692","0,815","0,602"
Água Doce (SC),"0,698","0,724","0,820","0,574"
Igarapé (MG),"0,698","0,686","0,844","0,588"
Jerônimo Monteiro (ES),"0,698","0,685","0,844","0,589"
Fazenda Vilanova (RS),"0,698","0,726","0,841","0,557"
Nova América da Colina (PR),"0,698","0,655","0,809","0,643"
Guapimirim (RJ),"0,698","0,692","0,812","0,604"
Abaeté (MG),"0,698","0,720","0,848","0,556"
Camaquã (RS),"0,697","0,715","0,819","0,578"
Aparecida do Taboado (MS),"0,697","0,717","0,804","0,588"
Miracatu (SP),"0,697","0,645","0,803","0,655"
Areias (SP),"0,697","0,627","0,803","0,672"
Pinhalão (PR),"0,697","0,679","0,828","0,601"
Soledade de Minas (MG),"0,697","0,673","0,831","0,606"
Damolândia (GO),"0,697","0,688","0,819","0,600"
João Pinheiro (MG),"0,697","0,683","0,788","0,630"
Potim (SP),"0,697","0,651","0,806","0,646"
Aloândia (GO),"0,697","0,694","0,834","0,585"
Cambará do Sul (RS),"0,697","0,705","0,838","0,574"
Maratá (RS),"0,697","0,729","0,862","0,540"
Ingaí (MG),"0,697","0,694","0,858","0,569"
Angélica (MS),"0,697","0,692","0,839","0,582"
Caiuá (SP),"0,697","0,665","0,802","0,635"
Fátima (TO),"0,697","0,653","0,813","0,638"
Combinado (TO),"0,697","0,649","0,815","0,639"
Canelinha (SC),"0,697","0,723","0,865","0,542"
Dona Francisca (RS),"0,697","0,718","0,831","0,568"
Comendador Gomes (MG),"0,697","0,703","0,850","0,566"
Porciúncula (RJ),"0,697","0,698","0,802","0,606"
Guzolândia (SP),"0,697","0,676","0,808","0,621"
Petrolina (PE),"0,697","0,695","0,799","0,611"
São Luís do Paraitinga (SP),"0,697","0,691","0,826","0,593"
Arantina (MG),"0,697","0,633","0,834","0,641"
São Miguel do Passa Quatro (GO),"0,697","0,681","0,802","0,619"
Carandaí (MG),"0,697","0,663","0,821","0,622"
Turvânia (GO),"0,697","0,679","0,820","0,609"
Tapira (PR),"0,697","0,689","0,794","0,619"
Manhumirim (MG),"0,697","0,679","0,846","0,589"
Bom Jesus do Sul (PR),"0,697","0,640","0,805","0,656"
Guapó (GO),"0,697","0,708","0,826","0,580"
Rio das Antas (SC),"0,697","0,727","0,820","0,569"
Santo Antônio do Caiuá (PR),"0,696","0,650","0,820","0,632"
Balneário Pinhal (RS),"0,696","0,710","0,836","0,567"
Coronel Martins (SC),"0,696","0,678","0,816","0,609"
Bom Jardim da Serra (SC),"0,696","0,710","0,835","0,568"
Abelardo Luz (SC),"0,696","0,684","0,852","0,578"
Santa Izabel do Oeste (PR),"0,696","0,677","0,826","0,603"
Japira (PR),"0,696","0,675","0,827","0,603"
Janiópolis (PR),"0,696","0,688","0,826","0,593"
Barbosa Ferraz (PR),"0,696","0,667","0,808","0,625"
Balsa Nova (PR),"0,696","0,707","0,823","0,579"
Alto Paraná (PR),"0,696","0,679","0,846","0,587"
