municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao
Vista Alegre do Prata (RS),"0,780","0,809","0,847","0,692"
Nova Petrópolis (RS),"0,780","0,775","0,890","0,688"
Boituva (SP),"0,780","0,757","0,861","0,728"
Braço do Trombudo (SC),"0,780","0,766","0,883","0,702"
Orlândia (SP),"0,780","0,765","0,882","0,703"
Corupá (SC),"0,780","0,768","0,873","0,707"
Cotia (SP),"0,780","0,789","0,851","0,707"
Birigui (SP),"0,780","0,743","0,869","0,734"
Salto (SP),"0,780","0,755","0,837","0,751"
Poços de Caldas (MG),"0,779","0,768","0,872","0,706"
Andradina (SP),"0,779","0,762","0,885","0,702"
Piratininga (SP),"0,779","0,762","0,859","0,723"
Seara (SC),"0,779","0,804","0,872","0,674"
Bento Gonçalves (RS),"0,778","0,805","0,842","0,695"
Varginha (MG),"0,778","0,760","0,875","0,707"
Juiz de Fora (MG),"0,778","0,784","0,844","0,711"
Ourinhos (SP),"0,778","0,753","0,859","0,727"
Jaú (SP),"0,778","0,768","0,886","0,693"
Londrina (PR),"0,778","0,789","0,837","0,712"
Tietê (SP),"0,778","0,764","0,884","0,698"
Jaboticabal (SP),"0,778","0,778","0,851","0,710"
Itatiba (SP),"0,778","0,788","0,844","0,708"
Lajeado (RS),"0,778","0,796","0,840","0,704"
Braço do Norte (SC),"0,778","0,746","0,881","0,716"
Nova Bréscia (RS),"0,778","0,836","0,847","0,666"
Victor Graeff (RS),"0,777","0,774","0,840","0,722"
José Bonifácio (SP),"0,777","0,752","0,869","0,717"
Selbach (RS),"0,777","0,785","0,841","0,710"
Indaial (SC),"0,777","0,767","0,873","0,701"
Louveira (SP),"0,777","0,783","0,861","0,697"
Mafra (SC),"0,777","0,738","0,880","0,723"
Jacareí (SP),"0,777","0,749","0,837","0,749"
Sarandi (RS),"0,777","0,776","0,858","0,705"
Lagoa Santa (MG),"0,777","0,790","0,857","0,693"
Pinheiro Preto (SC),"0,777","0,762","0,866","0,712"
Farroupilha (RS),"0,777","0,783","0,861","0,696"
Iracemápolis (SP),"0,776","0,742","0,863","0,729"
Itaú de Minas (MG),"0,776","0,761","0,862","0,711"
Bragança Paulista (SP),"0,776","0,772","0,861","0,704"
Erechim (RS),"0,776","0,782","0,833","0,716"
Passo Fundo (RS),"0,776","0,787","0,849","0,699"
Jales (SP),"0,776","0,750","0,855","0,730"
Osasco (SP),"0,776","0,776","0,840","0,718"
Araçoiaba da Serra (SP),"0,776","0,751","0,860","0,723"
Pirapozinho (SP),"0,776","0,740","0,863","0,733"
Dracena (SP),"0,776","0,752","0,842","0,737"
Xanxerê (SC),"0,775","0,760","0,861","0,711"
Limeira (SP),"0,775","0,761","0,852","0,719"
Ceres (GO),"0,775","0,753","0,842","0,733"
Itapiranga (SC),"0,775","0,766","0,842","0,723"
Viçosa (MG),"0,775","0,758","0,883","0,696"
Santa Rita do Passa Quatro (SP),"0,775","0,764","0,887","0,686"
Trombudo Central (SC),"0,775","0,760","0,880","0,696"
Ouro (SC),"0,774","0,774","0,884","0,677"
Treviso (SC),"0,774","0,737","0,882","0,714"
Massaranduba (SC),"0,774","0,749","0,867","0,714"
Mogi Guaçu (SP),"0,774","0,740","0,852","0,736"
Siderópolis (SC),"0,774","0,751","0,880","0,701"
Marau (RS),"0,774","0,773","0,857","0,699"
Francisco Beltrão (PR),"0,774","0,758","0,844","0,726"
Cruzália (SP),"0,774","0,698","0,853","0,778"
Marechal Cândido Rondon (PR),"0,774","0,782","0,842","0,704"
Pouso Alegre (MG),"0,774","0,755","0,872","0,704"
São José do Rio Pardo (SP),"0,774","0,744","0,868","0,717"
Pedrinhas Paulista (SP),"0,774","0,749","0,837","0,739"
Paraí (RS),"0,773","0,787","0,866","0,679"
Itu (SP),"0,773","0,782","0,854","0,692"
Auriflama (SP),"0,773","0,746","0,840","0,738"
Araguari (MG),"0,773","0,740","0,871","0,716"
Serra Alta (SC),"0,773","0,758","0,879","0,694"
Santana da Ponte Pensa (SP),"0,773","0,751","0,840","0,733"
Rio das Ostras (RJ),"0,773","0,784","0,854","0,689"
Pindamonhangaba (SP),"0,773","0,745","0,843","0,736"
Olímpia (SP),"0,773","0,737","0,867","0,724"
Veranópolis (RS),"0,773","0,797","0,838","0,692"
Santa Cruz do Sul (RS),"0,773","0,782","0,852","0,693"
Matão (SP),"0,773","0,766","0,847","0,713"
Sebastianópolis do Sul (SP),"0,773","0,748","0,835","0,740"
São Sebastião (SP),"0,772","0,747","0,875","0,703"
Aratiba (RS),"0,772","0,801","0,856","0,670"
Uberaba (MG),"0,772","0,772","0,845","0,705"
Araxá (MG),"0,772","0,756","0,858","0,709"
Santo Ângelo (RS),"0,772","0,765","0,863","0,696"
Recife (PE),"0,772","0,798","0,825","0,698"
Sales Oliveira (SP),"0,772","0,738","0,845","0,739"
Monções (SP),"0,772","0,731","0,814","0,773"
Urussanga (SC),"0,772","0,756","0,876","0,695"
Santa Salete (SP),"0,772","0,712","0,864","0,748"
Lajeado Grande (SC),"0,771","0,750","0,858","0,712"
Maracaí (SP),"0,771","0,711","0,850","0,758"
Volta Redonda (RJ),"0,771","0,763","0,833","0,720"
Itá (SC),"0,771","0,747","0,879","0,698"
Poá (SP),"0,771","0,710","0,856","0,754"
Ipatinga (MG),"0,771","0,752","0,864","0,705"
Tupã (SP),"0,771","0,764","0,852","0,704"
Ouroeste (SP),"0,770","0,717","0,866","0,736"
Lages (SC),"0,770","0,755","0,867","0,697"
Montes Claros (MG),"0,770","0,707","0,868","0,744"
Aracaju (SE),"0,770","0,784","0,823","0,708"
Santa Rosa de Viterbo (SP),"0,770","0,746","0,868","0,704"
Macatuba (SP),"0,770","0,763","0,859","0,697"
Armazém (SC),"0,770","0,743","0,882","0,698"
Oriente (SP),"0,770","0,717","0,837","0,761"
Timóteo (MG),"0,770","0,737","0,836","0,742"
Presidente Castello Branco (SC),"0,770","0,813","0,883","0,637"
Vargem Grande Paulista (SP),"0,770","0,755","0,884","0,683"
Tupi Paulista (SP),"0,769","0,762","0,835","0,715"
Santa Rosa (RS),"0,769","0,752","0,871","0,693"
Taboão da Serra (SP),"0,769","0,742","0,863","0,710"
Cosmópolis (SP),"0,769","0,746","0,876","0,697"
São Carlos (SC),"0,769","0,763","0,867","0,688"
Campo Limpo Paulista (SP),"0,769","0,733","0,840","0,739"
Schroeder (SC),"0,769","0,750","0,855","0,710"
Garça (SP),"0,769","0,737","0,849","0,728"
Arroio do Meio (RS),"0,769","0,750","0,860","0,706"
Pedreira (SP),"0,769","0,750","0,864","0,701"
Barbacena (MG),"0,769","0,751","0,881","0,687"
Lucas do Rio Verde (MT),"0,768","0,766","0,833","0,710"
Toledo (PR),"0,768","0,755","0,855","0,702"
Nova Veneza (SC),"0,768","0,741","0,869","0,703"
Nova Boa Vista (RS),"0,768","0,764","0,836","0,708"
São Luís (MA),"0,768","0,741","0,813","0,752"
Resende (RJ),"0,768","0,762","0,839","0,709"
São Vicente (SP),"0,768","0,738","0,857","0,716"
Palotina (PR),"0,768","0,760","0,864","0,689"
Três Passos (RS),"0,768","0,745","0,858","0,710"
São Roque (SP),"0,768","0,765","0,863","0,687"
Igarapava (SP),"0,768","0,809","0,835","0,671"
Bilac (SP),"0,768","0,743","0,845","0,722"
Maracajá (SC),"0,768","0,752","0,861","0,699"
Monte Alto (SP),"0,768","0,746","0,859","0,707"
São Marcos (RS),"0,768","0,775","0,855","0,683"
Regente Feijó (SP),"0,768","0,735","0,818","0,752"
Serra Negra (SP),"0,767","0,764","0,873","0,676"
Votorantim (SP),"0,767","0,720","0,838","0,747"
Capivari de Baixo (SC),"0,767","0,724","0,870","0,716"
Orindiúva (SP),"0,767","0,719","0,824","0,762"
Estrela (RS),"0,767","0,776","0,850","0,684"
Avaré (SP),"0,767","0,751","0,866","0,695"
Dois Vizinhos (PR),"0,767","0,747","0,850","0,711"
Encantado (RS),"0,767","0,764","0,858","0,687"
Novo Xingu (RS),"0,767","0,749","0,850","0,708"
Cedral (SP),"0,766","0,749","0,872","0,689"
Poloni (SP),"0,766","0,736","0,853","0,717"
Mauá (SP),"0,766","0,721","0,852","0,733"
Nova Prata (RS),"0,766","0,782","0,839","0,686"
Parnamirim (RN),"0,766","0,750","0,825","0,726"
Santiago (RS),"0,766","0,746","0,882","0,682"
Ivatuba (PR),"0,766","0,718","0,837","0,748"
Peritiba (SC),"0,766","0,762","0,882","0,669"
Pereira Barreto (SP),"0,766","0,728","0,845","0,732"
Capivari do Sul (RS),"0,766","0,805","0,836","0,668"
Alumínio (SP),"0,766","0,729","0,841","0,732"
Carazinho (RS),"0,766","0,756","0,840","0,707"
São Simão (SP),"0,766","0,732","0,852","0,722"
Lorena (SP),"0,766","0,736","0,856","0,713"
Catalão (GO),"0,766","0,769","0,819","0,715"
Ituverava (SP),"0,765","0,768","0,841","0,694"
Guaporé (RS),"0,765","0,781","0,837","0,685"
Atibaia (SP),"0,765","0,786","0,851","0,670"
Ibirubá (RS),"0,765","0,786","0,848","0,671"
Imbituba (SC),"0,765","0,734","0,868","0,703"
Suzano (SP),"0,765","0,708","0,873","0,723"
Gaspar (SC),"0,765","0,770","0,889","0,655"
São Domingos (SC),"0,765","0,769","0,861","0,675"
Espumoso (RS),"0,765","0,747","0,884","0,677"
Não-Me-Toque (RS),"0,765","0,784td&gt;","0,847","0,673"
Colinas (RS),"0,765","0,786","0,840","0,678"
Patos de Minas (MG),"0,765","0,749","0,855","0,698"
Nova Erechim (SC),"0,765","0,767","0,851","0,686"
Maricá (RJ),"0,765","0,761","0,850","0,692"
Nova Europa (SP),"0,765","0,718","0,869","0,718"
Santo Antônio do Palma (RS),"0,764","0,787","0,853","0,665"
Arroio Trinta (SC),"0,764","0,781","0,873","0,653"
Gramado (RS),"0,764","0,783","0,861","0,662"
Rondinha (RS),"0,764","0,780","0,842","0,678"
Lençóis Paulista (SP),"0,764","0,743","0,837","0,717"
Ouro Branco (MG),"0,764","0,753","0,872","0,680"
Cerro Largo (RS),"0,764","0,752","0,849","0,698"
São Valentim do Sul (RS),"0,764","0,776","0,848","0,677"
Videira (SC),"0,764","0,772","0,857","0,675"
Cachoeira Paulista (SP),"0,764","0,733","0,837","0,728"
Imbé (RS),"0,764","0,825","0,847","0,638"
Montauri (RS),"0,764","0,790","0,852","0,662"
Rosana (SP),"0,764","0,749","0,818","0,728"
Macaé (RJ),"0,764","0,792","0,828","0,681"
Divinópolis (MG),"0,764","0,753","0,844","0,702"
Paraíso do Tocantins (TO),"0,764","0,759","0,831","0,706"
São Domingos do Sul (RS),"0,763","0,780","0,839","0,680"
Medianeira (PR),"0,763","0,762","0,849","0,686"
Presidente Venceslau (SP),"0,763","0,749","0,837","0,708"
São Pedro do Butiá (RS),"0,763","0,760","0,843","0,694"
Guararapes (SP),"0,763","0,727","0,840","0,726"
Natal (RN),"0,763","0,768","0,835","0,694"
João Pessoa (PB),"0,763","0,770","0,832","0,693"
Paranavaí (PR),"0,763","0,750","0,844","0,703"
Itapetininga (SP),"0,763","0,728","0,864","0,705"
Gabriel Monteiro (SP),"0,763","0,721","0,809","0,762"
Ponta Grossa (PR),"0,763","0,755","0,837","0,703"
Barra Funda (RS),"0,763","0,731","0,856","0,710"
Fagundes Varela (RS),"0,763","0,773","0,852","0,674"
Buritama (SP),"0,763","0,736","0,839","0,720"
Guarulhos (SP),"0,763","0,746","0,831","0,717"
Paraguaçu Paulista (SP),"0,762","0,717","0,836","0,739"
Sumaré (SP),"0,762","0,744","0,845","0,705"
David Canabarro (RS),"0,762","0,740","0,870","0,688"
Saldanha Marinho (RS),"0,762","0,745","0,841","0,706"
Itupeva (SP),"0,762","0,750","0,844","0,699"
Serranópolis do Iguaçu (PR),"0,762","0,778","0,859","0,662"
Boa Vista do Buricá (RS),"0,762","0,761","0,834","0,697"
Mirassol (SP),"0,762","0,748","0,846","0,698"
Osvaldo Cruz (SP),"0,762","0,740","0,837","0,713"
Itapira (SP),"0,762","0,750","0,852","0,692"
Torres (RS),"0,762","0,750","0,862","0,685"
São Joaquim da Barra (SP),"0,762","0,740","0,847","0,706"
Mococa (SP),"0,762","0,756","0,827","0,709"
Santa Cruz do Rio Pardo (SP),"0,762","0,744","0,867","0,686"
São Francisco do Sul (SC),"0,762","0,740","0,856","0,699"
Nova Pádua (RS),"0,761","0,762","0,852","0,678"
Indiana (SP),"0,761","0,714","0,843","0,733"
Alfenas (MG),"0,761","0,737","0,841","0,712"
Panambi (RS),"0,761","0,752","0,848","0,691"
Itapoá (SC),"0,761","0,739","0,874","0,682"
Entre Rios do Oeste (PR),"0,761","0,778","0,826","0,686"
Umuarama (PR),"0,761","0,755","0,836","0,698"
Vila Maria (RS),"0,761","0,791","0,839","0,664"
Santa Rita D'Oeste (SP),"0,761","0,711","0,839","0,740"
São João do Oeste (SC),"0,761","0,756","0,873","0,668"
Taió (SC),"0,761","0,749","0,879","0,670"
Batatais (SP),"0,761","0,766","0,840","0,685"
Conselheiro Lafaiete (MG),"0,761","0,736","0,860","0,697"
Iguaba Grande (RJ),"0,761","0,744","0,841","0,704"
Zortéa (SC),"0,761","0,752","0,885","0,661"
Sertãozinho (SP),"0,761","0,768","0,855","0,672"
