municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao,cod_municipio,cod_estado,estado
Lagoa Grande,"0,679","0,678","0,812","0,568",2608750,26,PE
Arcoverde,"0,667","0,654","0,799","0,567",2601201,26,PE
Barra de Guabiraba,"0,577","0,558","0,726","0,474",2601300,26,PE
Granito,"0,595","0,543","0,773","0,502",2606309,26,PE
Passira,"0,592","0,559","0,763","0,487",2610509,26,PE
Paudalho,"0,639","0,612","0,782","0,545",2610608,26,PE
Gameleira,"0,602","0,541","0,759","0,532",2605905,26,PE
Garanhuns,"0,664","0,662","0,795","0,556",2606002,26,PE
Glória do Goitá,"0,604","0,570","0,765","0,506",2606101,26,PE
Goiana,"0,651","0,614","0,779","0,576",2606200,26,PE
Bom Conselho,"0,563","0,585","0,704","0,433",2602100,26,PE
Bom Jardim,"0,660","0,707","0,809","0,503",2602209,26,PE
Brejo da Madre de Deus,"0,562","0,581","0,734","0,417",2602605,26,PE
Barreiros,"0,586","0,561","0,730","0,491",2601409,26,PE
Águas Belas,"0,526","0,546","0,691","0,385",2600500,26,PE
Angelim,"0,572","0,555","0,751","0,448",2601003,26,PE
Lajedo,"0,611","0,599","0,758","0,503",2608800,26,PE
Limoeiro,"0,663","0,628","0,797","0,583",2608909,26,PE
Macaparana,"0,609","0,571","0,778","0,508",2609006,26,PE
Machados,"0,578","0,541","0,767","0,466",2609105,26,PE
Mirandiba,"0,591","0,512","0,769","0,525",2609303,26,PE
Moreno,"0,652","0,610","0,805","0,564",2609402,26,PE
Flores,"0,556","0,544","0,745","0,423",2605608,26,PE
Floresta,"0,736","0,707","0,816","0,691",2605707,26,PE
Frei Miguelinho,"0,576","0,575","0,758","0,438",2605806,26,PE
Ibirajuba,"0,580","0,545","0,753","0,476",2606705,26,PE
Igarassu,"0,665","0,622","0,781","0,606",2606804,26,PE
Capoeiras,"0,549","0,529","0,746","0,419",2603801,26,PE
Cortês,"0,568","0,541","0,707","0,478",2604809,26,PE
Cumaru,"0,572","0,553","0,720","0,470",2604908,26,PE
Itaíba,"0,510","0,531","0,688","0,364",2607505,26,PE
São Vicente Ferrer,"0,592","0,504","0,762","0,541",2613800,26,PE
Paranatama,"0,537","0,528","0,703","0,418",2610301,26,PE
São Benedito do Sul,"0,530","0,499","0,736","0,406",2612901,26,PE
Terra Nova,"0,599","0,545","0,741","0,533",2615201,26,PE
Itacuruba,"0,595","0,567","0,712","0,523",2607406,26,PE
Parnamirim,"0,766","0,750","0,825","0,726",2610400,26,PE
Pedra,"0,567","0,550","0,743","0,445",2610806,26,PE
Camocim de São Félix,"0,588","0,585","0,738","0,472",2603504,26,PE
Camutanga,"0,606","0,570","0,760","0,514",2603603,26,PE
Lagoa dos Gatos,"0,551","0,555","0,725","0,416",2608701,26,PE
Alagoinha,"0,599","0,569","0,801","0,472",2600609,26,PE
Manari,"0,487","0,477","0,682","0,354",2609154,26,PE
Vertente do Lério,"0,563","0,532","0,726","0,461",2616183,26,PE
Ferreiros,"0,622","0,589","0,787","0,519",2605509,26,PE
Poção,"0,528","0,542","0,677","0,402",2611200,26,PE
Jurema,"0,555","0,511","0,767","0,435",2608404,26,PE
Inajá,"0,705","0,676","0,807","0,641",2607000,26,PE
Jucati,"0,550","0,541","0,681","0,451",2608255,26,PE
Jupi,"0,575","0,560","0,698","0,487",2608305,26,PE
Betânia,"0,559","0,533","0,742","0,441",2601805,26,PE
Tupanatinga,"0,519","0,494","0,747","0,379",2615805,26,PE
Tamandaré,"0,593","0,583","0,745","0,479",2614857,26,PE
Jaqueira,"0,575","0,557","0,751","0,454",2607950,26,PE
Ipubi,"0,550","0,541","0,712","0,433",2607307,26,PE
Ipojuca,"0,619","0,613","0,774","0,499",2607208,26,PE
João Alfredo,"0,576","0,569","0,720","0,466",2608107,26,PE
Joaquim Nabuco,"0,554","0,561","0,676","0,449",2608206,26,PE
Lagoa do Carro,"0,609","0,566","0,789","0,505",2608453,26,PE
Lagoa de Itaenga,"0,602","0,555","0,774","0,509",2608503,26,PE
Ingazeira,"0,608","0,575","0,766","0,510",2607109,26,PE
Taquarana,"0,541","0,529","0,710","0,421",2709103,27,AL
Teotônio Vilela,"0,564","0,549","0,700","0,466",2709152,27,AL
São Miguel dos Milagres,"0,591","0,545","0,752","0,504",2708709,27,AL
São Sebastião,"0,772","0,747","0,875","0,703",2708808,27,AL
Satuba,"0,660","0,619","0,794","0,585",2708907,27,AL
Senador Rui Palmeira,"0,518","0,481","0,728","0,398",2708956,27,AL
Jacaré dos Homens,"0,583","0,543","0,759","0,481",2703403,27,AL
Japaratinga,"0,570","0,560","0,735","0,451",2703601,27,AL
Jaramataia,"0,552","0,532","0,701","0,451",2703700,27,AL
Coqueiro Seco,"0,586","0,582","0,757","0,457",2702207,27,AL
Coruripe,"0,626","0,591","0,769","0,541",2702306,27,AL
Craíbas,"0,525","0,517","0,687","0,408",2702355,27,AL
Dois Riachos,"0,532","0,513","0,762","0,385",2702504,27,AL
Estrela de Alagoas,"0,534","0,515","0,720","0,410",2702553,27,AL
Feira Grande,"0,533","0,512","0,736","0,402",2702603,27,AL
Delmiro Gouveia,"0,612","0,599","0,774","0,494",2702405,27,AL
Coité do Nóia,"0,533","0,520","0,730","0,398",2702009,27,AL
Colônia Leopoldina,"0,517","0,548","0,693","0,363",2702108,27,AL
Inhapi,"0,484","0,501","0,718","0,316",2703304,27,AL
Piaçabuçu,"0,572","0,538","0,727","0,479",2706802,27,AL
Pilar,"0,610","0,578","0,771","0,509",2706901,27,AL
Pindoba,"0,574","0,579","0,703","0,465",2707008,27,AL
Piranhas,"0,721","0,699","0,848","0,631",2707107,27,AL
Poço das Trincheiras,"0,526","0,484","0,719","0,419",2707206,27,AL
Messias,"0,568","0,557","0,714","0,460",2705200,27,AL
Monteirópolis,"0,539","0,497","0,710","0,443",2705408,27,AL
Murici,"0,527","0,542","0,685","0,395",2705507,27,AL
Novo Lino,"0,521","0,546","0,690","0,375",2705606,27,AL
Marechal Deodoro,"0,642","0,641","0,793","0,520",2704708,27,AL
Maribondo,"0,597","0,581","0,751","0,487",2704807,27,AL
Mar Vermelho,"0,577","0,540","0,766","0,465",2704906,27,AL
Mata Grande,"0,504","0,506","0,685","0,369",2705002,27,AL
Matriz de Camaragibe,"0,584","0,541","0,777","0,473",2705101,27,AL
Passo de Camaragibe,"0,533","0,513","0,703","0,421",2706505,27,AL
Paulo Jacinto,"0,589","0,551","0,732","0,507",2706604,27,AL
Penedo,"0,630","0,602","0,774","0,536",2706703,27,AL
Olivença,"0,493","0,513","0,677","0,345",2706000,27,AL
Flexeiras,"0,527","0,528","0,693","0,400",2702801,27,AL
Girau do Ponciano,"0,536","0,498","0,762","0,405",2702900,27,AL
Ibateguara,"0,518","0,517","0,684","0,393",2703007,27,AL
Junqueiro,"0,575","0,586","0,714","0,454",2704005,27,AL
Jequiá da Praia,"0,556","0,517","0,772","0,430",2703759,27,AL
Santa Luzia do Norte,"0,597","0,580","0,770","0,477",2707909,27,AL
Santana do Ipanema,"0,591","0,579","0,770","0,463",2708006,27,AL
Quebrangulo,"0,559","0,536","0,775","0,421",2707602,27,AL
Rio Largo,"0,643","0,616","0,788","0,547",2707701,27,AL
Roteiro,"0,505","0,524","0,672","0,365",2707800,27,AL
Major Isidoro,"0,566","0,566","0,755","0,424",2704401,27,AL
Maravilha,"0,781","0,758","0,886","0,708",2704609,27,AL
Paripueira,"0,605","0,595","0,767","0,486",2706448,27,AL
Igaci,"0,564","0,547","0,774","0,424",2703106,27,AL
Branquinha,"0,513","0,534","0,699","0,362",2701100,27,AL
Joaquim Gomes,"0,531","0,509","0,764","0,386",2703809,27,AL
Traipu,"0,532","0,499","0,765","0,395",2709202,27,AL
União dos Palmares,"0,593","0,590","0,764","0,462",2709301,27,AL
Viçosa,"0,775","0,758","0,883","0,696",2709400,27,AL
Maragogi,"0,574","0,556","0,766","0,443",2704500,27,AL
Jundiá,"0,595","0,552","0,775","0,492",2703908,27,AL
Campestre,"0,698","0,712","0,843","0,566",2701357,27,AL
Minador do Negrão,"0,563","0,541","0,767","0,430",2705309,27,AL
Limoeiro de Anadia,"0,580","0,575","0,742","0,457",2704203,27,AL
Maceió,"0,721","0,739","0,799","0,635",2704302,27,AL
Chã Preta,"0,575","0,537","0,737","0,481",2701902,27,AL
Porto de Pedras,"0,541","0,542","0,769","0,379",2707404,27,AL
Porto Real do Colégio,"0,551","0,513","0,758","0,431",2707503,27,AL
Barra de Santo Antônio,"0,557","0,552","0,732","0,428",2700508,27,AL
Feliz Deserto,"0,565","0,550","0,708","0,462",2702702,27,AL
Porto Calvo,"0,586","0,558","0,723","0,498",2707305,27,AL
Belém,"0,746","0,751","0,822","0,673",2700805,27,AL
Igreja Nova,"0,568","0,556","0,771","0,428",2703205,27,AL
Belo Monte,"0,517","0,507","0,725","0,376",2700904,27,AL
Boca da Mata,"0,604","0,560","0,758","0,518",2701001,27,AL
Cacimbinhas,"0,531","0,559","0,697","0,384",2701209,27,AL
Cajueiro,"0,562","0,542","0,691","0,473",2701308,27,AL
Campo Alegre,"0,714","0,677","0,845","0,636",2701407,27,AL
Campo Grande,"0,784","0,790","0,844","0,724",2701506,27,AL
Canapi,"0,506","0,504","0,719","0,357",2701605,27,AL
Capela,"0,615","0,596","0,766","0,510",2701704,27,AL
Carneiros,"0,526","0,517","0,709","0,398",2701803,27,AL
Barra de São Miguel,"0,615","0,638","0,767","0,475",2700607,27,AL
Batalha,"0,594","0,563","0,752","0,496",2700706,27,AL
Ouro Branco,"0,764","0,753","0,872","0,680",2706109,27,AL
Palmeira dos Índios,"0,638","0,625","0,794","0,523",2706307,27,AL
Pão de Açúcar,"0,593","0,536","0,793","0,491",2706406,27,AL
Pariconha,"0,548","0,526","0,754","0,416",2706422,27,AL
Água Branca,"0,639","0,600","0,763","0,569",2700102,27,AL
Anadia,"0,568","0,546","0,756","0,444",2700201,27,AL
Arapiraca,"0,649","0,638","0,780","0,549",2700300,27,AL
Atalaia,"0,736","0,707","0,854","0,660",2700409,27,AL
São José da Laje,"0,573","0,574","0,755","0,434",2708303,27,AL
São José da Tapera,"0,527","0,508","0,703","0,409",2708402,27,AL
São Luís do Quitunde,"0,536","0,550","0,701","0,400",2708501,27,AL
São Miguel dos Campos,"0,623","0,612","0,770","0,514",2708600,27,AL
Lagoa da Canoa,"0,552","0,541","0,703","0,443",2704104,27,AL
Santana do Mundaú,"0,519","0,513","0,752","0,362",2708105,27,AL
São Brás,"0,572","0,533","0,732","0,480",2708204,27,AL
Jacuípe,"0,548","0,532","0,755","0,410",2703502,27,AL
Palestina,"0,732","0,717","0,848","0,645",2706208,27,AL
Santa Luzia do Itanhy,"0,545","0,513","0,764","0,414",2806305,28,SE
Poço Redondo,"0,529","0,519","0,760","0,376",2805406,28,SE
Rosário do Catete,"0,631","0,603","0,731","0,571",2806107,28,SE
Areia Branca,"0,682","0,647","0,790","0,621",2800506,28,SE
Pedra Mole,"0,593","0,599","0,698","0,499",2805000,28,SE
Malhada dos Bois,"0,599","0,560","0,722","0,531",2803807,28,SE
São Domingos,"0,765","0,769","0,861","0,675",2806800,28,SE
Siriri,"0,609","0,565","0,740","0,541",2807204,28,SE
Tomar do Geru,"0,551","0,520","0,746","0,432",2807501,28,SE
Cristinápolis,"0,553","0,540","0,755","0,414",2801702,28,SE
Estância,"0,647","0,627","0,782","0,552",2802106,28,SE
Amparo de São Francisco,"0,611","0,569","0,728","0,550",2800100,28,SE
Aracaju,"0,770","0,784","0,823","0,708",2800308,28,SE
Arauá,"0,595","0,550","0,783","0,490",2800407,28,SE
Barra dos Coqueiros,"0,649","0,647","0,776","0,545",2800605,28,SE
Boquim,"0,604","0,581","0,771","0,492",2800670,28,SE
Canindé de São Francisco,"0,567","0,566","0,741","0,435",2801207,28,SE
Carira,"0,588","0,581","0,791","0,442",2801405,28,SE
Nossa Senhora das Dores,"0,600","0,579","0,749","0,497",2804607,28,SE
Nossa Senhora do Socorro,"0,664","0,620","0,811","0,581",2804805,28,SE
Poço Verde,"0,561","0,563","0,751","0,417",2805505,28,SE
Porto da Folha,"0,568","0,537","0,739","0,462",2805604,28,SE
Propriá,"0,661","0,629","0,776","0,593",2805703,28,SE
Riachão do Dantas,"0,539","0,527","0,781","0,381",2805802,28,SE
Ribeirópolis,"0,613","0,610","0,769","0,490",2806008,28,SE
Salgado,"0,609","0,588","0,789","0,486",2806206,28,SE
São Cristóvão,"0,662","0,624","0,800","0,581",2806701,28,SE
Simão Dias,"0,604","0,579","0,775","0,492",2807105,28,SE
Tobias Barreto,"0,557","0,609","0,702","0,404",2807402,28,SE
Umbaúba,"0,579","0,567","0,719","0,476",2807600,28,SE
Gararu,"0,564","0,544","0,783","0,422",2802403,28,SE
Indiaroba,"0,580","0,533","0,772","0,475",2802809,28,SE
Itabaiana,"0,642","0,645","0,801","0,513",2802908,28,SE
Itabaianinha,"0,556","0,555","0,761","0,407",2803005,28,SE
Lagarto,"0,625","0,613","0,775","0,515",2803500,28,SE
Nossa Senhora da Glória,"0,587","0,591","0,750","0,456",2804508,28,SE
Pirambu,"0,603","0,558","0,764","0,515",2805307,28,SE
Pedrinhas,"0,592","0,568","0,750","0,486",2805109,28,SE
Riachuelo,"0,617","0,591","0,766","0,520",2805901,28,SE
Macambira,"0,583","0,573","0,728","0,474",2803708,28,SE
Santana do São Francisco,"0,590","0,544","0,716","0,526",2806404,28,SE
Santa Rosa de Lima,"0,757","0,726","0,843","0,710",2806503,28,SE
Santo Amaro das Brotas,"0,637","0,613","0,778","0,543",2806602,28,SE
Carmópolis,"0,643","0,623","0,783","0,546",2801504,28,SE
Ilha das Flores,"0,562","0,514","0,735","0,469",2802700,28,SE
Japaratuba,"0,621","0,581","0,757","0,544",2803302,28,SE
Aquidabã,"0,578","0,573","0,747","0,452",2800209,28,SE
Campo do Brito,"0,621","0,625","0,793","0,484",2801009,28,SE
Frei Paulo,"0,589","0,623","0,768","0,428",2802304,28,SE
Japoatã,"0,560","0,551","0,700","0,455",2803401,28,SE
Laranjeiras,"0,642","0,589","0,772","0,582",2803609,28,SE
Malhador,"0,587","0,587","0,781","0,442",2803906,28,SE
Monte Alegre de Sergipe,"0,553","0,539","0,726","0,431",2804201,28,SE
Neópolis,"0,589","0,575","0,702","0,505",2804409,28,SE
Pacatuba,"0,675","0,605","0,779","0,652",2804904,28,SE
Telha,"0,604","0,564","0,722","0,542",2807303,28,SE
Pinhão,"0,654","0,649","0,806","0,534",2805208,28,SE
São Francisco,"0,723","0,705","0,814","0,658",2806909,28,SE
São Miguel do Aleixo,"0,567","0,571","0,753","0,424",2807006,28,SE
Moita Bonita,"0,587","0,596","0,792","0,429",2804102,28,SE
Muribeca,"0,626","0,575","0,771","0,554",2804300,28,SE
Nossa Senhora Aparecida,"0,577","0,577","0,774","0,430",2804458,28,SE
Nossa Senhora de Lourdes,"0,598","0,560","0,719","0,532",2804706,28,SE
Maruim,"0,618","0,590","0,781","0,511",2804003,28,SE
Capela,"0,615","0,596","0,766","0,510",2801306,28,SE
General Maynard,"0,645","0,609","0,776","0,567",2802502,28,SE
Itabi,"0,602","0,569","0,748","0,512",2803104,28,SE
Cedro de São João,"0,623","0,608","0,731","0,543",2801603,28,SE
Cumbe,"0,604","0,576","0,748","0,512",2801900,28,SE
Divina Pastora,"0,610","0,571","0,753","0,527",2802007,28,SE
Feira Nova,"0,600","0,581","0,807","0,460",2802205,28,SE
Brejo Grande,"0,540","0,515","0,701","0,435",2800704,28,SE
Canhoba,"0,569","0,553","0,722","0,462",2801108,28,SE
Cansanção,"0,557","0,530","0,745","0,438",2906808,29,BA
Canudos,"0,562","0,554","0,707","0,453",2906824,29,BA
Itamari,"0,578","0,595","0,713","0,454",2915700,29,BA
Itanagra,"0,584","0,577","0,796","0,433",2915908,29,BA
Itanhém,"0,637","0,624","0,790","0,525",2916005,29,BA
Itaparica,"0,670","0,657","0,826","0,553",2916104,29,BA
Itapé,"0,599","0,574","0,761","0,491",2916203,29,BA
Capela do Alto Alegre,"0,599","0,582","0,770","0,480",2906857,29,BA
Lençóis,"0,623","0,613","0,775","0,510",2919306,29,BA
Licínio de Almeida,"0,621","0,582","0,775","0,531",2919405,29,BA
Ichu,"0,631","0,580","0,771","0,562",2913309,29,BA
Igaporã,"0,614","0,586","0,766","0,516",2913408,29,BA
Igrapiúna,"0,574","0,565","0,789","0,424",2913457,29,BA
Iguaí,"0,552","0,559","0,786","0,382",2913507,29,BA
Ibitiara,"0,585","0,550","0,744","0,490",2913002,29,BA
Gentio do Ouro,"0,559","0,523","0,743","0,450",2911303,29,BA
Dom Macedo Costa,"0,632","0,598","0,795","0,531",2910206,29,BA
Ibititá,"0,602","0,554","0,747","0,527",2913101,29,BA
Barreiras,"0,721","0,695","0,807","0,668",2903201,29,BA
Barro Alto,"0,742","0,701","0,854","0,682",2903235,29,BA
Bom Jesus da Lapa,"0,633","0,615","0,775","0,533",2903904,29,BA
Boquira,"0,603","0,564","0,782","0,497",2904100,29,BA
Brumado,"0,656","0,630","0,807","0,554",2904605,29,BA
Buerarema,"0,613","0,604","0,772","0,495",2904704,29,BA
Cachoeira,"0,647","0,615","0,762","0,577",2904902,29,BA
Caculé,"0,637","0,621","0,769","0,541",2905008,29,BA
Ibotirama,"0,636","0,601","0,780","0,548",2913200,29,BA
Araças,"0,570","0,540","0,744","0,462",2902054,29,BA
Senhor do Bonfim,"0,666","0,638","0,773","0,599",2930105,29,BA
Serra do Ramalho,"0,595","0,530","0,775","0,512",2930154,29,BA
Sento Sé,"0,585","0,535","0,778","0,480",2930204,29,BA
Luís Eduardo Magalhães,"0,716","0,754","0,826","0,590",2919553,29,BA
Capim Grosso,"0,621","0,620","0,752","0,514",2906873,29,BA
Vitória da Conquista,"0,678","0,681","0,788","0,581",2933307,29,BA
Boninal,"0,612","0,564","0,789","0,514",2904001,29,BA
Bonito,"0,670","0,714","0,831","0,508",2904050,29,BA
Botuporã,"0,575","0,543","0,754","0,464",2904209,29,BA
Brejões,"0,597","0,560","0,775","0,490",2904308,29,BA
Canápolis,"0,722","0,721","0,872","0,598",2906105,29,BA
Canarana,"0,693","0,735","0,825","0,549",2906204,29,BA
Canavieiras,"0,590","0,596","0,796","0,434",2906303,29,BA
Candeal,"0,587","0,554","0,787","0,465",2906402,29,BA
Pindaí,"0,603","0,566","0,777","0,498",2924504,29,BA
Pindobaçu,"0,577","0,527","0,757","0,482",2924603,29,BA
Pintadas,"0,612","0,572","0,765","0,525",2924652,29,BA
Bom Jesus da Serra,"0,546","0,535","0,749","0,407",2903953,29,BA
Piraí do Norte,"0,533","0,546","0,762","0,363",2924678,29,BA
Piripá,"0,575","0,547","0,768","0,453",2924702,29,BA
Apuarema,"0,552","0,555","0,735","0,413",2901957,29,BA
São Gabriel,"0,699","0,711","0,822","0,585",2929255,29,BA
São Gonçalo dos Campos,"0,627","0,636","0,752","0,516",2929305,29,BA
Marcionílio Souza,"0,561","0,518","0,737","0,463",2920809,29,BA
Euclides da Cunha,"0,567","0,565","0,749","0,430",2910701,29,BA
São José da Vitória,"0,546","0,553","0,686","0,429",2929354,29,BA
Jussiape,"0,602","0,600","0,736","0,493",2918605,29,BA
Lafaiete Coutinho,"0,599","0,576","0,771","0,483",2918704,29,BA
Acajutiba,"0,582","0,560","0,723","0,487",2900306,29,BA
Alagoinhas,"0,683","0,681","0,790","0,592",2900702,29,BA
Amargosa,"0,625","0,616","0,807","0,492",2901007,29,BA
Esplanada,"0,589","0,589","0,740","0,469",2910602,29,BA
Nova Soure,"0,555","0,548","0,712","0,439",2922904,29,BA
Ilhéus,"0,690","0,688","0,808","0,590",2913606,29,BA
Inhambupe,"0,565","0,556","0,757","0,429",2913705,29,BA
Ipecaetá,"0,550","0,506","0,776","0,424",2913804,29,BA
Ipiaú,"0,670","0,687","0,796","0,551",2913903,29,BA
Uruçuca,"0,616","0,607","0,758","0,507",2932705,29,BA
Utinga,"0,590","0,597","0,706","0,487",2932804,29,BA
Valença,"0,738","0,713","0,848","0,666",2932903,29,BA
Valente,"0,637","0,623","0,729","0,568",2933000,29,BA
Filadélfia,"0,621","0,578","0,792","0,522",2910859,29,BA
Firmino Alves,"0,578","0,596","0,699","0,464",2910909,29,BA
Floresta Azul,"0,557","0,548","0,731","0,431",2911006,29,BA
Formosa do Rio Preto,"0,618","0,576","0,763","0,536",2911105,29,BA
Dom Basílio,"0,591","0,547","0,783","0,482",2910107,29,BA
Elísio Medrado,"0,623","0,590","0,777","0,527",2910305,29,BA
Entre Rios,"0,657","0,638","0,808","0,550",2910503,29,BA
Mascote,"0,581","0,567","0,744","0,464",2920908,29,BA
Coração de Maria,"0,592","0,558","0,762","0,489",2908903,29,BA
Lagoa Real,"0,545","0,535","0,764","0,395",2918753,29,BA
Laje,"0,586","0,548","0,764","0,480",2918803,29,BA
Lajedão,"0,632","0,652","0,778","0,497",2918902,29,BA
Lajedo do Tabocal,"0,584","0,545","0,764","0,479",2919058,29,BA
Lamarão,"0,518","0,501","0,747","0,372",2919108,29,BA
Ribeira do Amparo,"0,512","0,503","0,694","0,384",2926509,29,BA
Ribeira do Pombal,"0,601","0,599","0,704","0,515",2926608,29,BA
Maracás,"0,607","0,577","0,747","0,519",2920502,29,BA
Maragogipe,"0,621","0,582","0,793","0,518",2920601,29,BA
Maraú,"0,593","0,643","0,801","0,404",2920700,29,BA
Feira da Mata,"0,588","0,527","0,763","0,505",2910776,29,BA
Catolândia,"0,582","0,554","0,786","0,452",2907400,29,BA
Jacobina,"0,649","0,636","0,772","0,558",2917508,29,BA
Jaguaquara,"0,580","0,586","0,747","0,446",2917607,29,BA
Jaguarari,"0,659","0,644","0,806","0,551",2917706,29,BA
Cravolândia,"0,599","0,559","0,765","0,503",2909505,29,BA
Crisópolis,"0,543","0,542","0,765","0,387",2909604,29,BA
Cristópolis,"0,614","0,546","0,766","0,553",2909703,29,BA
Cruz das Almas,"0,699","0,659","0,796","0,650",2909802,29,BA
Curaçá,"0,581","0,544","0,778","0,463",2909901,29,BA
Dário Meira,"0,540","0,522","0,771","0,392",2910008,29,BA
Itabela,"0,599","0,614","0,751","0,465",2914653,29,BA
Itaberaba,"0,620","0,638","0,769","0,485",2914703,29,BA
Pau Brasil,"0,583","0,580","0,727","0,470",2923902,29,BA
Coribe,"0,600","0,545","0,807","0,491",2909109,29,BA
Correntina,"0,603","0,575","0,792","0,481",2909307,29,BA
Cotegipe,"0,590","0,545","0,746","0,504",2909406,29,BA
Jiquiriçá,"0,553","0,558","0,763","0,397",2918209,29,BA
Jitaúna,"0,575","0,563","0,704","0,479",2918308,29,BA
Caetité,"0,625","0,631","0,801","0,484",2905206,29,BA
Cafarnaum,"0,584","0,554","0,734","0,490",2905305,29,BA
América Dourada,"0,561","0,506","0,751","0,464",2901155,29,BA
Anagé,"0,540","0,549","0,771","0,371",2901205,29,BA
Andaraí,"0,555","0,540","0,764","0,415",2901304,29,BA
Araci,"0,534","0,534","0,747","0,381",2902104,29,BA
Paulo Afonso,"0,674","0,678","0,789","0,572",2924009,29,BA
Pé de Serra,"0,587","0,558","0,779","0,465",2924058,29,BA
Pedro Alexandre,"0,513","0,489","0,778","0,354",2924207,29,BA
Piatã,"0,571","0,543","0,769","0,447",2924306,29,BA
Pilão Arcado,"0,506","0,514","0,737","0,343",2924405,29,BA
Vera Cruz,"0,754","0,722","0,830","0,715",2933208,29,BA
Vereda,"0,577","0,568","0,777","0,436",2933257,29,BA
São José do Jacuípe,"0,552","0,555","0,726","0,417",2929370,29,BA
Jussara,"0,743","0,768","0,842","0,635",2918506,29,BA
Jussari,"0,567","0,577","0,699","0,451",2918555,29,BA
Novo Horizonte,"0,753","0,741","0,865","0,665",2923035,29,BA
Olindina,"0,559","0,534","0,810","0,403",2923100,29,BA
Oliveira dos Brejinhos,"0,554","0,533","0,747","0,427",2923209,29,BA
Ourolândia,"0,560","0,547","0,701","0,459",2923357,29,BA
Juazeiro,"0,677","0,657","0,796","0,594",2918407,29,BA
Caraíbas,"0,555","0,570","0,739","0,405",2906899,29,BA
Caravelas,"0,616","0,626","0,791","0,473",2906907,29,BA
Itajuípe,"0,599","0,609","0,759","0,466",2915502,29,BA
Itamaraju,"0,627","0,641","0,767","0,502",2915601,29,BA
Cícero Dantas,"0,585","0,590","0,712","0,477",2907806,29,BA
Cipó,"0,601","0,589","0,744","0,496",2907905,29,BA
Cocos,"0,596","0,558","0,805","0,471",2908101,29,BA
Conceição da Feira,"0,634","0,606","0,766","0,548",2908200,29,BA
Serra Dourada,"0,608","0,539","0,775","0,537",2930303,29,BA
Simões Filho,"0,675","0,641","0,813","0,591",2930709,29,BA
Sítio do Mato,"0,564","0,455","0,774","0,509",2930758,29,BA
Cândido Sales,"0,601","0,565","0,798","0,482",2906709,29,BA
Cardeal da Silva,"0,552","0,523","0,735","0,437",2907004,29,BA
Itapetinga,"0,667","0,667","0,790","0,562",2916401,29,BA
Camaçari,"0,694","0,681","0,798","0,616",2905701,29,BA
Camamu,"0,565","0,562","0,710","0,452",2905800,29,BA
Campo Formoso,"0,586","0,566","0,749","0,475",2906006,29,BA
Livramento de Nossa Senhora,"0,611","0,587","0,793","0,491",2919504,29,BA
Ibipeba,"0,616","0,577","0,744","0,545",2912400,29,BA
Ibirapitanga,"0,558","0,561","0,748","0,415",2912707,29,BA
Ibirapuã,"0,614","0,641","0,774","0,467",2912806,29,BA
Ibirataia,"0,576","0,571","0,789","0,424",2912905,29,BA
Conceição do Almeida,"0,606","0,578","0,805","0,479",2908309,29,BA
Conceição do Coité,"0,611","0,587","0,752","0,517",2908408,29,BA
Conceição do Jacuípe,"0,663","0,630","0,799","0,579",2908507,29,BA
Carinhanha,"0,576","0,525","0,763","0,477",2907103,29,BA
Casa Nova,"0,570","0,577","0,736","0,435",2907202,29,BA
Catu,"0,677","0,660","0,814","0,578",2907509,29,BA
Caturama,"0,571","0,543","0,770","0,446",2907558,29,BA
Central,"0,596","0,540","0,728","0,538",2907608,29,BA
Chorrochó,"0,600","0,552","0,779","0,503",2907707,29,BA
Jaborandi,"0,711","0,679","0,845","0,627",2917359,29,BA
Itaeté,"0,572","0,536","0,719","0,485",2915007,29,BA
Aratuípe,"0,575","0,570","0,753","0,443",2902302,29,BA
Aurelino Leal,"0,568","0,555","0,759","0,434",2902401,29,BA
Itapitanga,"0,571","0,536","0,764","0,454",2916609,29,BA
Itaquara,"0,553","0,539","0,763","0,411",2916708,29,BA
Itarantim,"0,610","0,608","0,766","0,487",2916807,29,BA
Itatim,"0,582","0,550","0,782","0,459",2916856,29,BA
Itiruçu,"0,600","0,588","0,762","0,482",2916906,29,BA
Água Fria,"0,550","0,529","0,747","0,422",2900405,29,BA
Abaíra,"0,603","0,577","0,746","0,510",2900108,29,BA
Abaré,"0,575","0,533","0,776","0,460",2900207,29,BA
Adustina,"0,546","0,526","0,718","0,432",2900355,29,BA
Érico Cardoso,"0,584","0,558","0,758","0,471",2900504,29,BA
Nilo Peçanha,"0,547","0,531","0,762","0,404",2922607,29,BA
Nordestina,"0,560","0,507","0,743","0,467",2922656,29,BA
Nova Canaã,"0,545","0,554","0,789","0,370",2922706,29,BA
Nova Fátima,"0,688","0,681","0,819","0,584",2922730,29,BA
Nova Ibiá,"0,570","0,620","0,714","0,419",2922755,29,BA
Nova Itarana,"0,524","0,508","0,729","0,389",2922805,29,BA
Quixabeira,"0,578","0,547","0,753","0,469",2925931,29,BA
Quijingue,"0,544","0,539","0,689","0,434",2925907,29,BA
Mutuípe,"0,601","0,618","0,751","0,467",2922409,29,BA
Nazaré,"0,643","0,584","0,792","0,576",2922508,29,BA
Rafael Jambeiro,"0,564","0,538","0,768","0,435",2925956,29,BA
Itagi,"0,543","0,543","0,694","0,426",2915106,29,BA
