municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao,cod_municipio,cod_estado,estado
Abaetetuba,"0,628","0,579","0,798","0,537",1500107,15,PA
Faro,"0,563","0,501","0,756","0,470",1503002,15,PA
Curralinho,"0,502","0,508","0,769","0,323",1502806,15,PA
Muaná,"0,547","0,540","0,775","0,391",1504901,15,PA
Magalhães Barata,"0,597","0,524","0,801","0,507",1504109,15,PA
Belterra,"0,588","0,548","0,775","0,478",1501451,15,PA
Santa Maria das Barreiras,"0,544","0,555","0,783","0,370",1506583,15,PA
Santarém Novo,"0,587","0,520","0,774","0,502",1506906,15,PA
São Domingos do Araguaia,"0,594","0,629","0,738","0,451",1507151,15,PA
Senador José Porfírio,"0,514","0,533","0,754","0,338",1507805,15,PA
Ananindeua,"0,718","0,684","0,821","0,658",1500800,15,PA
Anapu,"0,548","0,563","0,788","0,371",1500859,15,PA
Aurora do Pará,"0,519","0,504","0,773","0,358",1500958,15,PA
Breves,"0,503","0,524","0,778","0,312",1501808,15,PA
Irituia,"0,559","0,536","0,763","0,427",1503507,15,PA
Itaituba,"0,640","0,644","0,800","0,510",1503606,15,PA
Itupiranga,"0,528","0,543","0,746","0,364",1503705,15,PA
Jacundá,"0,622","0,628","0,752","0,509",1503804,15,PA
Juruti,"0,592","0,547","0,756","0,501",1503903,15,PA
Limoeiro do Ajuru,"0,541","0,493","0,754","0,425",1504000,15,PA
Pacajá,"0,515","0,541","0,746","0,338",1505486,15,PA
Paragominas,"0,645","0,667","0,781","0,514",1505502,15,PA
Terra Santa,"0,635","0,602","0,763","0,558",1507979,15,PA
Oriximiná,"0,623","0,599","0,778","0,520",1505304,15,PA
Ourém,"0,568","0,575","0,727","0,438",1505403,15,PA
Ourilândia do Norte,"0,624","0,653","0,795","0,467",1505437,15,PA
Mãe do Rio,"0,599","0,615","0,763","0,458",1504059,15,PA
Tomé-Açu,"0,586","0,596","0,798","0,424",1508001,15,PA
Tracuateua,"0,531","0,514","0,776","0,376",1508035,15,PA
Trairão,"0,562","0,594","0,763","0,392",1508050,15,PA
Tucumã,"0,659","0,670","0,813","0,525",1508084,15,PA
Tucuruí,"0,666","0,675","0,800","0,548",1508100,15,PA
Prainha,"0,523","0,512","0,779","0,359",1506005,15,PA
Quatipuru,"0,543","0,550","0,732","0,397",1506112,15,PA
Redenção,"0,672","0,674","0,804","0,561",1506138,15,PA
Rio Maria,"0,638","0,651","0,804","0,495",1506161,15,PA
Rondon do Pará,"0,602","0,606","0,788","0,457",1506187,15,PA
Rurópolis,"0,548","0,548","0,764","0,392",1506195,15,PA
Salinópolis,"0,647","0,628","0,798","0,541",1506203,15,PA
Inhangapi,"0,572","0,550","0,748","0,456",1503408,15,PA
Nova Esperança do Piriá,"0,502","0,482","0,757","0,346",1504950,15,PA
Viseu,"0,515","0,482","0,776","0,366",1508308,15,PA
Tailândia,"0,588","0,583","0,776","0,450",1507953,15,PA
Terra Alta,"0,605","0,555","0,743","0,536",1507961,15,PA
Novo Repartimento,"0,537","0,557","0,741","0,376",1505064,15,PA
Óbidos,"0,594","0,556","0,756","0,499",1505106,15,PA
Pau D'Arco,"0,661","0,621","0,792","0,587",1505551,15,PA
Piçarra,"0,563","0,561","0,792","0,402",1505635,15,PA
Porto de Moz,"0,503","0,512","0,770","0,322",1505908,15,PA
Primavera,"0,580","0,572","0,767","0,444",1506104,15,PA
Melgaço,"0,418","0,454","0,776","0,207",1504505,15,PA
Ponta de Pedras,"0,562","0,558","0,773","0,412",1505700,15,PA
Portel,"0,483","0,513","0,767","0,286",1505809,15,PA
Cachoeira do Piriá,"0,473","0,449","0,779","0,303",1501956,15,PA
Cametá,"0,577","0,538","0,754","0,474",1502103,15,PA
Canaã dos Carajás,"0,673","0,670","0,801","0,569",1502152,15,PA
Bonito,"0,670","0,714","0,831","0,508",1501600,15,PA
Bragança,"0,600","0,589","0,755","0,486",1501709,15,PA
Brasil Novo,"0,613","0,632","0,809","0,451",1501725,15,PA
Breu Branco,"0,568","0,555","0,781","0,422",1501782,15,PA
Goianésia do Pará,"0,560","0,585","0,743","0,404",1503093,15,PA
Igarapé-Açu,"0,595","0,579","0,743","0,490",1503200,15,PA
Augusto Corrêa,"0,520","0,480","0,772","0,380",1500909,15,PA
Aveiro,"0,541","0,470","0,748","0,450",1501006,15,PA
Igarapé-Miri,"0,547","0,514","0,770","0,413",1503309,15,PA
Ipixuna do Pará,"0,489","0,508","0,757","0,304",1503457,15,PA
São Félix do Xingu,"0,594","0,638","0,798","0,411",1507300,15,PA
São Francisco do Pará,"0,608","0,571","0,785","0,502",1507409,15,PA
São Geraldo do Araguaia,"0,595","0,594","0,793","0,447",1507458,15,PA
São João de Pirabas,"0,539","0,529","0,753","0,393",1507474,15,PA
São João do Araguaia,"0,550","0,530","0,741","0,424",1507508,15,PA
São Miguel do Guamá,"0,591","0,582","0,752","0,471",1507607,15,PA
Sapucaia,"0,675","0,682","0,804","0,561",1507755,15,PA
Soure,"0,615","0,583","0,760","0,525",1507904,15,PA
Santa Maria do Pará,"0,598","0,595","0,764","0,471",1506609,15,PA
Santana do Araguaia,"0,602","0,591","0,774","0,478",1506708,15,PA
Santarém,"0,691","0,632","0,807","0,648",1506807,15,PA
Santo Antônio do Tauá,"0,632","0,598","0,753","0,561",1507003,15,PA
São Caetano de Odivelas,"0,585","0,552","0,767","0,473",1507102,15,PA
São Domingos do Capim,"0,532","0,509","0,773","0,382",1507201,15,PA
Água Azul do Norte,"0,564","0,563","0,797","0,399",1500347,15,PA
Alenquer,"0,564","0,529","0,779","0,436",1500404,15,PA
Almeirim,"0,642","0,659","0,809","0,497",1500503,15,PA
Marabá,"0,668","0,673","0,785","0,564",1504208,15,PA
Maracanã,"0,570","0,534","0,764","0,454",1504307,15,PA
Colares,"0,602","0,541","0,763","0,528",1502608,15,PA
Cumaru do Norte,"0,550","0,635","0,795","0,330",1502764,15,PA
Altamira,"0,665","0,662","0,811","0,548",1500602,15,PA
Dom Eliseu,"0,615","0,606","0,763","0,502",1502939,15,PA
Floresta do Araguaia,"0,583","0,573","0,792","0,437",1503044,15,PA
Anajás,"0,484","0,506","0,774","0,290",1500701,15,PA
Vitória do Xingu,"0,596","0,594","0,792","0,451",1508357,15,PA
Xinguara,"0,646","0,671","0,800","0,503",1508407,15,PA
Medicilândia,"0,582","0,605","0,800","0,408",1504455,15,PA
Abel Figueiredo,"0,622","0,625","0,800","0,481",1500131,15,PA
Capanema,"0,706","0,719","0,801","0,611",1502202,15,PA
Capitão Poço,"0,548","0,573","0,747","0,385",1502301,15,PA
Castanhal,"0,673","0,654","0,800","0,582",1502400,15,PA
Conceição do Araguaia,"0,640","0,631","0,770","0,540",1502707,15,PA
Concórdia do Pará,"0,566","0,560","0,741","0,438",1502756,15,PA
Curionópolis,"0,636","0,592","0,809","0,536",1502772,15,PA
Curuá,"0,578","0,501","0,780","0,495",1502855,15,PA
Belém,"0,746","0,751","0,822","0,673",1501402,15,PA
Benevides,"0,665","0,623","0,798","0,592",1501501,15,PA
Bom Jesus do Tocantins,"0,660","0,621","0,833","0,555",1501576,15,PA
Mocajuba,"0,575","0,539","0,754","0,467",1504604,15,PA
Moju,"0,547","0,578","0,757","0,375",1504703,15,PA
Monte Alegre,"0,609","0,578","0,770","0,507",1504802,15,PA
Curuçá,"0,582","0,542","0,758","0,480",1502905,15,PA
Bannach,"0,594","0,635","0,784","0,420",1501253,15,PA
Ulianópolis,"0,604","0,682","0,759","0,425",1508126,15,PA
Uruará,"0,589","0,609","0,798","0,420",1508159,15,PA
Vigia,"0,617","0,594","0,768","0,516",1508209,15,PA
Barcarena,"0,662","0,643","0,801","0,564",1501303,15,PA
Parauapebas,"0,715","0,701","0,809","0,644",1505536,15,PA
Palestina do Pará,"0,589","0,574","0,761","0,467",1505494,15,PA
Peixe-Boi,"0,581","0,543","0,754","0,478",1505601,15,PA
Placas,"0,552","0,541","0,770","0,404",1505650,15,PA
Santa Cruz do Arari,"0,557","0,483","0,775","0,461",1506401,15,PA
Chaves,"0,453","0,516","0,769","0,234",1502509,15,PA
Bagre,"0,471","0,481","0,777","0,280",1501105,15,PA
Garrafão do Norte,"0,526","0,540","0,763","0,353",1503077,15,PA
Bagre,"0,471","0,481","0,777","0,280",1501105,15,PA
Bujaru,"0,552","0,495","0,779","0,437",1501907,15,PA
