uf,cod_uf,cod_setor,cod_municipio,municipio,distrito,tipo,geometria
DF,53,530010805080068,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0139019042728, -15.8372430433807), (-48.0141693183416, -15.837285632413), (-48.0145621650091, -15.8356111583194), (-48.01404356471361, -15.8355234751583), (-48.0127651004661, -15.8354495618179), (-48.0127416883904, -15.8365370675094), (-48.0123705397648, -15.8365344537867), (-48.0123522437058, -15.8371774295746), (-48.0139019042728, -15.8372430433807))"
DF,53,530010805080069,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0147798011934, -15.8374791360299), (-48.0145031943558, -15.8373825266398), (-48.0141693183416, -15.837285632413), (-48.0139019042728, -15.8372430433807), (-48.0134545405861, -15.8382095797338), (-48.01268941393609, -15.8378935895986), (-48.0126611645229, -15.838544847907), (-48.012838805652, -15.8385372327871), (-48.01366902091329, -15.8388204069847), (-48.013768809473, -15.838608247694), (-48.0141567941849, -15.8387784608583), (-48.0147798011934, -15.8374791360299))"
DF,53,530010805080070,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0126611645229, -15.838544847907), (-48.01260695529041, -15.8397040611435), (-48.0144244288328, -15.8404737695768), (-48.0148148954396, -15.839643056562), (-48.0135650530542, -15.8390775203721), (-48.01366902091329, -15.8388204069847), (-48.012838805652, -15.8385372327871), (-48.0126611645229, -15.838544847907))"
DF,53,530010805080071,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0153201062304, -15.8377085027051), (-48.0147798011934, -15.8374791360299), (-48.0141567941849, -15.8387784608583), (-48.013768809473, -15.838608247694), (-48.01366902091329, -15.8388204069847), (-48.0135650530542, -15.8390775203721), (-48.0148148954396, -15.839643056562), (-48.0149427932321, -15.8393582027559), (-48.01545307436039, -15.8395637746672), (-48.0159073592033, -15.8385779007307), (-48.01541677628129, -15.8383661218239), (-48.0156564422328, -15.8378576604106), (-48.0153201062304, -15.8377085027051))"
DF,53,530010805080072,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0145621650091, -15.8356111583194), (-48.0141693183416, -15.837285632413), (-48.0145031943558, -15.8373825266398), (-48.0147177278548, -15.8367561920231), (-48.0151019246708, -15.8369011474666), (-48.0155623570418, -15.8359253132018), (-48.0150797066551, -15.8357392033299), (-48.0145621650091, -15.8356111583194))"
DF,53,530010805080073,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0142429022916, -15.8340710216344), (-48.01404356471361, -15.8355234751583), (-48.0145621650091, -15.8356111583194), (-48.0150797066551, -15.8357392033299), (-48.0152426299444, -15.835230972777), (-48.0153311630854, -15.8349741964961), (-48.01475061654111, -15.834820876526), (-48.0148991395031, -15.834183108992), (-48.0142429022916, -15.8340710216344))"
DF,53,530010805080074,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0148991395031, -15.834183108992), (-48.01475061654111, -15.834820876526), (-48.0153311630854, -15.8349741964961), (-48.0152426299444, -15.835230972777), (-48.0157761522942, -15.835433043143), (-48.0158916714983, -15.8351900955385), (-48.0161663802756, -15.8345930639371), (-48.01612997053699, -15.8345800604591), (-48.0150376783802, -15.8342081609866), (-48.0148991395031, -15.834183108992))"
DF,53,530010805080075,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0161663802756, -15.8345930639371), (-48.0158916714983, -15.8351900955385), (-48.01638593874681, -15.8354001733158), (-48.01665791174609, -15.8348037202816), (-48.0161663802756, -15.8345930639371))"
DF,53,530010805080076,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0150376783802, -15.8342081609866), (-48.01612997053699, -15.8345800604591), (-48.0163368933124, -15.8340658098301), (-48.0158257310637, -15.8338609775546), (-48.0152803433452, -15.833711453905), (-48.0150376783802, -15.8342081609866))"
DF,53,530010805080077,5300108,Brasília,BRASÍLIA,Polygon,"((-48.0161980203133, -15.8317129259309), (-48.0157821823096, -15.832644423096), (-48.01676812629349, -15.8330796618578), (-48.0166684218294, -15.8333023327248), (-48.0177278275203, -15.833772531571), (-48.0182317999546, -15.8326700608106), (-48.0173650560851, -15.8323115725284), (-48.0163390669376, -15.8318110490576), (-48.0161980203133, -15.8317129259309))"
